FPR,TPR
0.0,0.0
0.0,0.04
0.0,0.68
0.025,0.68
0.025,0.88
0.05,0.88
0.05,0.92
0.375,0.92
0.375,0.96
0.4,0.96
0.65,1.0
1.0,1.0
