FPR,TPR
0.0,0.0
0.0,0.04
0.0,0.64
0.025,0.64
0.025,0.8
0.05,0.8
0.05,0.84
0.075,0.84
0.075,0.88
0.225,0.88
0.475,0.92
0.5,0.92
0.5,0.96
0.65,0.96
0.65,1.0
1.0,1.0
