Feature,Importance
PCNT,7.710091e-05
FAM219B,7.5171345e-05
PPM1M,5.3330823e-05
SMIM20,4.137872e-05
MICU1,2.84331e-05
CLEC16A,0.0
MROCKI,0.0
ZNF587,0.0
SUPT7L,0.0
COMMD9,0.0
H2AC14,0.0
METAP1,0.0
HSD17B12,0.0
ATG3,0.0
E2F7,0.0
TRAPPC3L,0.0
PLXNB2,0.0
LINC02491,0.0
MTPN,0.0
HAVCR2,0.0
POC1A,0.0
MTCO1P11,0.0
CIP2A,0.0
C13orf46,0.0
FAM120AOS,0.0
CCS,0.0
CD3E,0.0
ZNF277,0.0
ZNF532,0.0
RNU4-2,0.0
LOC101927446,0.0
TROAP,0.0
COL9A3,0.0
SIPA1L1,0.0
PEBP1,0.0
PGP,0.0
SERINC2,0.0
RFC1,0.0
TNIP2,0.0
CDS2,0.0
ALG9,0.0
HEATR1,0.0
FAM210A,0.0
DHFR,0.0
KAZN,0.0
ACOT2,0.0
TMEM263,0.0
ANLN,0.0
PLIN4,0.0
NIT1,0.0
SPCS2,0.0
