Model,Test AUC,CV AUC
Logistic Regression,0.9219999999999999,0.8566516341256367
Random Forest,0.9289999999999999,0.8468521859083191
Gradient Boosting,0.931,0.8676013370118845
LightGBM,0.966,0.8770442487266552
XGBoost,0.9570000000000001,0.8744471561969439
SVM,0.9359999999999999,0.8778316001697792
Voting Ensemble,0.961,N/A
Stacking Ensemble,0.962,N/A
