FPR,TPR
0.0,0.0
0.0,0.04
0.0,0.52
0.025,0.52
0.025,0.76
0.05,0.76
0.05,0.8
0.075,0.8
0.075,0.84
0.125,0.84
0.125,0.88
0.15,0.88
0.15,0.92
0.275,0.92
0.275,0.96
0.65,0.96
0.9,1.0
1.0,1.0
