FPR,TPR
0.0,0.0
0.0,0.04
0.0,0.76
0.025,0.76
0.025,0.8
0.075,0.8
0.075,0.88
0.1,0.88
0.1,0.96
0.35,0.96
0.6,1.0
1.0,1.0
