FPR,TPR
0.0,0.0
0.0,0.04
0.0,0.6
0.025,0.6
0.025,0.84
0.1,0.84
0.1,0.88
0.25,0.88
0.25,0.92
0.45,0.92
0.45,0.96
0.7,0.96
0.95,1.0
1.0,1.0
