Model,F1 Score,Precision,Recall,AUC
Logistic Regression,0.5454545454545454,0.375,1.0,0.8083333333333333
SVM,0.5454545454545454,0.375,1.0,0.8583333333333333
Stacking Ensemble,0.5454545454545454,0.375,1.0,0.8583333333333333
Gradient Boosting,0.5217391304347826,0.35294117647058826,1.0,0.8499999999999999
LightGBM,0.5217391304347826,0.35294117647058826,1.0,0.8166666666666667
Voting Ensemble,0.5217391304347826,0.35294117647058826,1.0,0.8583333333333333
Random Forest,0.5,0.3333333333333333,1.0,0.8916666666666666
XGBoost,0.5,0.3333333333333333,1.0,0.9083333333333333
