Model,Test AUC,Recall,Precision,F1,CV AUC
XGBoost,0.9083333333333333,1.0,0.3333333333333333,0.5,1.0
Random Forest,0.8916666666666666,1.0,0.3333333333333333,0.5,1.0
SVM,0.8583333333333333,1.0,0.375,0.5454545454545454,1.0
Voting Ensemble,0.8583333333333333,1.0,0.35294117647058826,0.5217391304347826,N/A
Stacking Ensemble,0.8583333333333333,1.0,0.375,0.5454545454545454,N/A
Gradient Boosting,0.8499999999999999,1.0,0.35294117647058826,0.5217391304347826,1.0
LightGBM,0.8166666666666667,1.0,0.35294117647058826,0.5217391304347826,1.0
Logistic Regression,0.8083333333333333,1.0,0.375,0.5454545454545454,1.0
