Model,Accuracy,Precision,Recall,F1,AUC
Stacking Ensemble,0.6153846153846154,0.375,1.0,0.5454545454545454,0.8583333333333333
Voting Ensemble,0.5769230769230769,0.35294117647058826,1.0,0.5217391304347826,0.8583333333333333
XGBoost,0.5384615384615384,0.3333333333333333,1.0,0.5,0.9083333333333333
SVM,0.6153846153846154,0.375,1.0,0.5454545454545454,0.8583333333333333
LightGBM,0.5769230769230769,0.35294117647058826,1.0,0.5217391304347826,0.8166666666666667
Gradient Boosting,0.5769230769230769,0.35294117647058826,1.0,0.5217391304347826,0.8499999999999999
Random Forest,0.5384615384615384,0.3333333333333333,1.0,0.5,0.8916666666666666
Logistic Regression,0.6153846153846154,0.375,1.0,0.5454545454545454,0.8083333333333333
