FPR,TPR,Thresholds
0.0,0.0,inf
0.03571428571428571,0.0,0.8441184075534696
0.07142857142857142,0.0,0.7092769157876787
0.14285714285714285,0.0,0.6164756524267407
0.25,0.0,0.5280659129904879
0.25,0.4,0.38525911746604447
0.2857142857142857,0.4,0.34688830007110805
0.2857142857142857,0.5,0.24538148281465083
0.32142857142857145,0.5,0.22131005483910351
0.32142857142857145,0.7,0.19691112827823026
0.4642857142857143,0.7,0.11960380351294572
0.4642857142857143,0.8,0.10815876173502482
0.5714285714285714,0.8,0.07234429776974968
0.6071428571428571,0.9,0.06673438572989492
0.6785714285714286,1.0,0.04936657120342561
0.7857142857142857,1.0,0.029648385672392526
0.8928571428571429,1.0,0.014552192988203478
0.9642857142857143,1.0,0.012592988667319999
1.0,1.0,0.008123667222160754
