FPR,TPR,Thresholds
0.0,0.0,inf
0.0,0.1,0.6587909200867342
0.10714285714285714,0.1,0.530602404024375
0.10714285714285714,0.3,0.35127220265909226
0.14285714285714285,0.3,0.3387590095406575
0.14285714285714285,0.4,0.33725608741435176
0.17857142857142858,0.4,0.33228379734194374
0.17857142857142858,0.5,0.2643237919316966
0.21428571428571427,0.5,0.2562469663237356
0.21428571428571427,0.7,0.1772275777926765
0.35714285714285715,0.7,0.15172261932754078
0.35714285714285715,0.8,0.10982534752690695
0.42857142857142855,0.8,0.09931193543117302
0.42857142857142855,0.9,0.0919673932031061
0.5357142857142857,0.9,0.06584074298698878
0.5357142857142857,1.0,0.06362034591841828
1.0,1.0,0.025089510630966323
