FPR,TPR,x,y
0.0,0.0,0.0,0.0
0.0,0.16666666666666666,0.0,0.16666666666666666
0.0,0.5,0.0,0.5
0.1,0.5,0.1,0.5
0.1,0.6666666666666666,0.1,0.6666666666666666
0.35,0.6666666666666666,0.35,0.6666666666666666
0.35,0.8333333333333334,0.35,0.8333333333333334
0.4,0.8333333333333334,0.4,0.8333333333333334
0.4,1.0,0.4,1.0
1.0,1.0,1.0,1.0
