FPR,TPR,Thresholds,x,y
0.0,0.0,inf,0.0,0.0
0.0,0.03571428571428571,0.9996783286333084,0.0,0.03571428571428571
0.0,0.42857142857142855,0.884900132601615,0.0,0.42857142857142855
0.043478260869565216,0.42857142857142855,0.8022398259490728,0.043478260869565216,0.42857142857142855
0.043478260869565216,0.5714285714285714,0.663057946589106,0.043478260869565216,0.5714285714285714
0.17391304347826086,0.5714285714285714,0.5985759876511176,0.17391304347826086,0.5714285714285714
0.17391304347826086,0.6071428571428571,0.5420869595191107,0.17391304347826086,0.6071428571428571
0.21739130434782608,0.6071428571428571,0.5333870225585997,0.21739130434782608,0.6071428571428571
0.21739130434782608,0.6428571428571429,0.5224693901836872,0.21739130434782608,0.6428571428571429
0.30434782608695654,0.6428571428571429,0.47828743784706573,0.30434782608695654,0.6428571428571429
0.30434782608695654,0.9285714285714286,0.24152341837929747,0.30434782608695654,0.9285714285714286
0.43478260869565216,0.9285714285714286,0.13166769176879,0.43478260869565216,0.9285714285714286
0.43478260869565216,0.9642857142857143,0.12793074606815935,0.43478260869565216,0.9642857142857143
0.6086956521739131,0.9642857142857143,0.11059927344345868,0.6086956521739131,0.9642857142857143
0.6086956521739131,1.0,0.07170402444899082,0.6086956521739131,1.0
1.0,1.0,0.0002588249560582234,1.0,1.0
