FPR,TPR,Thresholds,x,y
0.0,0.0,inf,0.0,0.0
0.0,0.03571428571428571,0.9996645450592041,0.0,0.03571428571428571
0.0,0.4642857142857143,0.8121312197636144,0.0,0.4642857142857143
0.043478260869565216,0.4642857142857143,0.7918355390429497,0.043478260869565216,0.4642857142857143
0.043478260869565216,0.5714285714285714,0.6958789739628628,0.043478260869565216,0.5714285714285714
0.17391304347826086,0.5714285714285714,0.6086369968252257,0.17391304347826086,0.5714285714285714
0.17391304347826086,0.6071428571428571,0.5623163842741405,0.17391304347826086,0.6071428571428571
0.21739130434782608,0.6071428571428571,0.5511535026453203,0.21739130434782608,0.6071428571428571
0.21739130434782608,0.6428571428571429,0.5307320458814502,0.21739130434782608,0.6428571428571429
0.30434782608695654,0.6428571428571429,0.4861411707281833,0.30434782608695654,0.6428571428571429
0.30434782608695654,0.9285714285714286,0.22504614823992597,0.30434782608695654,0.9285714285714286
0.4782608695652174,0.9285714285714286,0.10630361700081181,0.4782608695652174,0.9285714285714286
0.4782608695652174,0.9642857142857143,0.10183440354740014,0.4782608695652174,0.9642857142857143
0.6086956521739131,0.9642857142857143,0.08516378033345973,0.6086956521739131,0.9642857142857143
0.6086956521739131,1.0,0.06869960183394141,0.6086956521739131,1.0
1.0,1.0,0.00026805403949015094,1.0,1.0
