Model,Accuracy,Precision,Recall,F1,AUC
LightGBM,0.6923076923076923,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.875
XGBoost,0.6538461538461539,0.4,1.0,0.5714285714285714,0.8583333333333334
Random Forest,0.6538461538461539,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.8416666666666667
Logistic Regression,0.6153846153846154,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.8
SVM,0.6153846153846154,0.375,1.0,0.5454545454545454,0.7416666666666667
Gradient Boosting,0.6153846153846154,0.375,1.0,0.5454545454545454,0.7333333333333334
