Feature,Importance
KLHL18,5.040794623922533e-14
ENSG00000279453,5.1601126053838294e-15
DGKE,3.480366118290779e-15
PSMB6,2.6638062219982345e-15
ENSG00000225138,2.409121522673358e-15
RPL7AP50,1.925394595137423e-15
COMMD9,1.8294101920510926e-15
CENPK,5.0996310041618e-16
PAXBP1,0.0
HSBP1,0.0
DUS4L,0.0
OSBPL10,0.0
RTCB,0.0
