Model,Test AUC,Recall,Precision,F1,CV AUC
LightGBM,0.875,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.7245
XGBoost,0.8583333333333334,1.0,0.4,0.5714285714285714,0.7230000000000001
Stacking Ensemble,0.8583333333333334,0.0,0.0,0.0,N/A
Voting Ensemble,0.85,1.0,0.4,0.5714285714285714,N/A
Random Forest,0.8416666666666667,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.7274166666666667
Logistic Regression,0.8,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.73525
SVM,0.7416666666666667,1.0,0.4,0.5714285714285714,0.68125
Gradient Boosting,0.7333333333333334,1.0,0.375,0.5454545454545454,0.7778333333333334
