FPR,TPR,Thresholds,x,y
0.0,0.0,inf,0.0,0.0
0.0,0.03571428571428571,0.99998343,0.0,0.03571428571428571
0.0,0.5714285714285714,0.97357553,0.0,0.5714285714285714
0.13043478260869565,0.5714285714285714,0.68867046,0.13043478260869565,0.5714285714285714
0.13043478260869565,0.6071428571428571,0.53899235,0.13043478260869565,0.6071428571428571
0.2608695652173913,0.6071428571428571,0.2960249,0.2608695652173913,0.6071428571428571
0.2608695652173913,0.6785714285714286,0.26516658,0.2608695652173913,0.6785714285714286
0.30434782608695654,0.6785714285714286,0.25884673,0.30434782608695654,0.6785714285714286
0.30434782608695654,0.75,0.12976266,0.30434782608695654,0.75
0.34782608695652173,0.75,0.12973914,0.34782608695652173,0.75
0.34782608695652173,0.8214285714285714,0.081225134,0.34782608695652173,0.8214285714285714
0.391304347826087,0.8214285714285714,0.042838976,0.391304347826087,0.8214285714285714
0.391304347826087,0.9285714285714286,0.014952261,0.391304347826087,0.9285714285714286
0.43478260869565216,0.9285714285714286,0.010608098,0.43478260869565216,0.9285714285714286
0.43478260869565216,1.0,0.0041980217,0.43478260869565216,1.0
1.0,1.0,1.9941128e-05,1.0,1.0
