FPR,TPR,Thresholds,x,y
0.0,0.0,inf,0.0,0.0
0.0,0.03571428571428571,0.99947315,0.0,0.03571428571428571
0.0,0.5,0.99027747,0.0,0.5
0.08695652173913043,0.5,0.9896054,0.08695652173913043,0.5
0.08695652173913043,0.5714285714285714,0.987631,0.08695652173913043,0.5714285714285714
0.13043478260869565,0.5714285714285714,0.98419815,0.13043478260869565,0.5714285714285714
0.13043478260869565,0.6071428571428571,0.9815963,0.13043478260869565,0.6071428571428571
0.17391304347826086,0.6071428571428571,0.9796982,0.17391304347826086,0.6071428571428571
0.17391304347826086,0.6428571428571429,0.92356306,0.17391304347826086,0.6428571428571429
0.2608695652173913,0.6428571428571429,0.8995817,0.2608695652173913,0.6428571428571429
0.2608695652173913,0.75,0.75791764,0.2608695652173913,0.75
0.30434782608695654,0.75,0.35879278,0.30434782608695654,0.75
0.30434782608695654,0.7857142857142857,0.27546662,0.30434782608695654,0.7857142857142857
0.391304347826087,0.7857142857142857,0.16388464,0.391304347826087,0.7857142857142857
0.391304347826087,1.0,0.0036702394,0.391304347826087,1.0
1.0,1.0,0.00038920445,1.0,1.0
