Feature,Importance,Mean_SHAP
CCL4L1,0.0032684017130770204,0.0015041346477255829
ZFP36L2,0.002822834246120238,-0.0002273040839709057
CCL4,0.0027015710038571605,0.00033188839409339834
CSRNP1,0.0026774419795282047,0.0007201124616542189
SPON2,0.002433600338195277,0.00044947022702879197
MOCS3,0.002378854180492794,0.00011443346113226389
CCL4L2,0.002047140013356423,0.0006870778147744293
AURKB,0.001987867727304452,0.0008234463759067686
CCL3L1,0.001796582510586359,-0.0001940854257042282
DHFR,0.00179152590863167,0.00037007802143019803
IGHV3-72,0.0017807804662297363,-0.0004554308249295426
DPH2,0.001771109097213075,-0.00033030091323707895
CENPO,0.0017234402507668972,-0.00011773183611198541
DPEP2,0.00170247914233213,0.00039579223141906214
EPRS1,0.0017020005400755899,0.0004918338233003911
CRELD1,0.0016897727658478216,0.00020877870912304448
FCGR2B,0.0016700141477147296,-0.00011781456067214906
SYTL3,0.001641080608616368,0.0007726335064424567
TMIGD2,0.0015897444912961135,5.316742682808208e-05
ZNF319,0.0015424159391819417,0.00030342678514361357
DNASE1L1,0.0015349778179748793,0.0002947980056657325
KIF22,0.0014848255212670542,-0.0003669358818095876
PDXK,0.0014474472837212723,-0.0004263422713277602
SRSF5,0.001445101817477109,0.00047745254277384573
GATD3,0.0014366225288077986,0.0001886458414174514
HBS1L,0.0014090485292791604,5.8026634971297794e-05
COG6,0.0014057339699041244,0.0003791228067116016
HSD17B12,0.0013862305983004435,9.155850373251384e-05
MOSMO,0.0013743320495872902,0.000477177552443238
PSMB9,0.0013733395540073128,-0.00056390682282731
GMPS,0.001355773007942427,0.00027786218985076193
ZNF22-AS1,0.0013522019300564996,0.0004689714154793397
MAFF,0.0013248911819550417,-8.67417229367222e-05
PWP2,0.0013152684494304064,0.00020111118103840233
POC1A,0.0013051712471444262,0.0004906509017824956
CLINT1,0.0012976208196927787,0.0004062173020344384
ZDHHC12,0.0012826884814920202,0.000540036794331301
KSR1,0.0012712027395956438,6.856481354318738e-05
TTC38,0.0012622196151045129,6.268079027802492e-05
CENPP,0.0012500366251452187,0.000230692183167415
NCAPH,0.0012254153821443735,0.0004725010520381383
UBE2L6,0.001193197155340677,-1.615581521913507e-05
ACTN4,0.0011911046980569238,-0.0001270766522681387
MKI67,0.0011871510142189873,0.00032355291630903533
METTL18,0.0011656358485736568,0.00023188717525147648
SIKE1,0.0011644192683962508,-0.00034615473813460817
DOK7,0.0011543669324214029,0.00010416666810774178
GPR18,0.0011497586744891573,-0.00013900615835914554
RBSN,0.0011483750059551137,-0.0001338247236345543
GIPC1,0.0011479025946217962,0.00014388017951959362
RDH14,0.001133040401324328,-0.0003884907113718585
RAB37,0.0011269875308348696,0.0005701773141288061
ITM2A,0.0011254887324833108,0.00023379598309404822
ING3,0.0011097084451162542,0.0003050467560237651
MTCH1,0.0011011289325541574,9.14539526359139e-05
MZT2A,0.0010984761027534496,3.525604548650795e-05
S100B,0.0010972533003901915,0.0002049056180073873
ATR,0.0010959516738901778,0.0006218790690475385
CYTH1,0.0010943368665822903,0.0002413014142207007
RMND1,0.0010906954864307041,0.0005661720803019039
WDR76,0.0010873328562889814,8.266943586975993e-05
CHEK1,0.00108018791064801,0.00021383404847603274
CNEP1R1,0.0010795232162601396,0.0001366826291429042
OR7E140P,0.001068947914920216,0.0003709632654396767
ANAPC7,0.0010652251269415095,0.0004273277052065171
CPSF6,0.0010635198637864815,-0.00022837525401550916
CWC27,0.0010620360587906322,-2.373568345273614e-06
GCNA,0.0010619050018246632,-3.946231510576892e-05
RBL1,0.0010598952385461344,0.0005332767090876728
STRN,0.0010582492974321389,0.00019738472274771006
ZC3H12A,0.0010577634870900545,5.895038241281185e-06
PPP3CB,0.0010549092334980663,-0.00016644872460876416
LINC00892,0.0010462064952934148,2.8866819879294448e-05
C19orf48,0.0010412732326087692,-0.00027976422184103713
ZNF32,0.001034871859474956,0.00018124245161834631
PRR14L,0.001034257265152547,5.365717784981585e-05
ALAS1,0.0010269766959002233,-2.927561839719308e-05
ZNF654,0.001026807183351843,-0.00014086381031136634
IGHV3-69-1,0.001021328181931897,-0.00022217386646990707
TMEM175,0.001016835848617204,0.0004243339488885249
NFKBIA,0.001015582155183061,0.00033655375330474856
HBG1,0.0010149247342930378,0.00024390092534785245
NSMCE3,0.0010062498246169963,-0.00029195660400906467
SNN,0.0010036669134702108,-0.0001287976690011888
TMEM176B,0.0010019181607479628,-1.4034435853135479e-05
TDRD9,0.000994072690363256,0.00011362375380061102
EIF2B2,0.0009922034681881808,0.00022582727925500926
LOC124904613,0.0009879890230310652,0.00038279416549087615
MAGI2-AS3,0.0009845607996770772,7.142121508659104e-05
COPZ2,0.0009793133542524144,-0.00018132578525984348
DUSP7,0.0009773207499465105,0.00039023633614370854
TUBA1B,0.0009665286401364413,-0.00010346763320639622
SERPING1,0.0009651290889489105,-0.00012046178469296512
EXOC3L1,0.0009636221279705064,-8.118367355921463e-05
FSD1,0.000961200335420814,4.802737840621961e-05
RIPK2,0.0009600480308120782,0.0002466207587138577
CLIC3,0.000951101922334811,0.00011323433252748681
RGS14,0.0009497114312021022,1.033052301382884e-05
CKS2,0.0009483517827992158,5.4322481505588696e-05
KLF13,0.0009476147575807044,0.00023531371149901635
GTF2A1,0.0009470394978139579,0.00011148096050307608
CERCAM,0.0009467697690924544,0.00015591108529953562
PLEK,0.0009429497526512084,0.00029717899464774773
PPP1R15A,0.0009428906831869541,0.0003157942556803445
TRIM69,0.0009427960957404946,0.00011297952371940056
KCTD17,0.0009425369322379667,0.0002536953678602172
ASH1L-AS1,0.0009413087415290674,0.00018271126755028716
NCOA2,0.0009405150446152169,0.0001882829762489536
PLK3,0.0009375871747078441,-0.00013346975705173008
DNAJC21,0.0009369506498983995,-0.00011017652093159904
RGS2,0.0009367565783253795,0.00016547186706127774
TRAPPC6B,0.0009364880148324516,1.4123314157737968e-05
DYNLT3,0.0009358895599027499,2.465231361699526e-05
ANPEP,0.000934068187343684,-0.0002706318283516025
CAMSAP2,0.0009336643926950711,-4.3845713057071374e-05
NOP9,0.0009272034340885296,0.00017390884068906417
TRIOBP,0.0009264393241597116,-2.415028721511394e-06
GCC1,0.0009254127407203066,8.029086405453023e-05
EGR3,0.0009251919100438073,0.00037333535270156395
FAF1,0.0009212865736488252,0.0003785481559276988
PRR11,0.0009212179178641908,-6.988554252308046e-05
CMTM4,0.0009184053854464431,8.562820973701953e-05
HLA-DMA,0.0009172671892558187,-0.00040497171141478397
BDH2,0.0009169661588395594,-0.00015709947089418943
FSD1L,0.0009138793263829328,-0.00025951971289929585
MTHFD2L,0.0009138783919436527,0.00020092106811814669
PRDM5,0.0009126056119314812,0.00030839484149840034
GPNMB,0.0009117585117961335,0.00013237169880570034
IL27,0.0009057206301654444,-0.00032837966871617955
IARS1,0.0009044040460704258,0.0002035682811865317
CPSF3,0.0009041975098160253,0.00016091232979752683
LGALS8,0.0009033766696293127,9.590852869138442e-05
MTX1P1,0.0009025747805233542,-0.00019485327602647033
BRI3BP,0.0009014412967619533,-0.00025365790151389843
MARCKSL1,0.000900965177572966,0.0002890539153102835
ADAM8,0.0008985571217109825,5.83089465162107e-05
SPATA20,0.0008967031912723909,0.0001808649078091724
CIP2A,0.0008936355354174477,4.6447929317083964e-05
NFS1,0.0008930175874977046,0.000189414560569728
CLEC12B,0.0008923378229128603,-0.0003668067112072531
ZNG1F,0.000891496572368572,0.00026705131242652473
RGP1,0.0008877816136174845,0.0002885941437775553
MS4A2,0.0008862115868610358,0.00012408991483931964
