FPR,TPR,Thresholds,x,y
0.0,0.0,inf,0.0,0.0
0.0,0.03571428571428571,0.99970466,0.0,0.03571428571428571
0.0,0.6071428571428571,0.96230567,0.0,0.6071428571428571
0.043478260869565216,0.6071428571428571,0.8648334,0.043478260869565216,0.6071428571428571
0.043478260869565216,0.6785714285714286,0.7491222,0.043478260869565216,0.6785714285714286
0.08695652173913043,0.6785714285714286,0.72179914,0.08695652173913043,0.6785714285714286
0.08695652173913043,0.7142857142857143,0.5885839,0.08695652173913043,0.7142857142857143
0.13043478260869565,0.7142857142857143,0.46654174,0.13043478260869565,0.7142857142857143
0.13043478260869565,0.7857142857142857,0.4285925,0.13043478260869565,0.7857142857142857
0.17391304347826086,0.7857142857142857,0.37581038,0.17391304347826086,0.7857142857142857
0.17391304347826086,0.8214285714285714,0.17465532,0.17391304347826086,0.8214285714285714
0.21739130434782608,0.8214285714285714,0.12718832,0.21739130434782608,0.8214285714285714
0.21739130434782608,0.8571428571428571,0.08548745,0.21739130434782608,0.8571428571428571
0.30434782608695654,0.8571428571428571,0.04783282,0.30434782608695654,0.8571428571428571
0.30434782608695654,0.8928571428571429,0.039558377,0.30434782608695654,0.8928571428571429
0.34782608695652173,0.8928571428571429,0.02734673,0.34782608695652173,0.8928571428571429
0.34782608695652173,0.9285714285714286,0.02423737,0.34782608695652173,0.9285714285714286
0.4782608695652174,0.9285714285714286,0.009576756,0.4782608695652174,0.9285714285714286
0.4782608695652174,0.9642857142857143,0.005108099,0.4782608695652174,0.9642857142857143
0.782608695652174,0.9642857142857143,0.0007640931,0.782608695652174,0.9642857142857143
0.782608695652174,1.0,0.00071049907,0.782608695652174,1.0
1.0,1.0,5.4460947e-05,1.0,1.0
