FPR,TPR,Thresholds
0.0,0.0,inf
0.03571428571428571,0.0,0.98289984
0.10714285714285714,0.0,0.87339664
0.10714285714285714,0.1,0.86694586
0.17857142857142858,0.1,0.47200927
0.17857142857142858,0.2,0.46072388
0.2857142857142857,0.2,0.28594738
0.2857142857142857,0.3,0.28042293
0.32142857142857145,0.3,0.24377875
0.32142857142857145,0.5,0.17172149
0.39285714285714285,0.5,0.111229844
0.39285714285714285,0.7,0.07256993
0.4642857142857143,0.7,0.06769167
0.4642857142857143,0.8,0.060196847
0.5357142857142857,0.8,0.034836948
0.5357142857142857,0.9,0.033281244
0.7142857142857143,0.9,0.009742497
0.7142857142857143,1.0,0.009195353
0.7857142857142857,1.0,0.0043837535
0.8571428571428571,1.0,0.0042562135
1.0,1.0,0.0013958393
