FPR,TPR,Thresholds,x,y
0.0,0.0,inf,0.0,0.0
0.0,0.03571428571428571,0.99993795,0.0,0.03571428571428571
0.0,0.5714285714285714,0.97772175,0.0,0.5714285714285714
0.17391304347826086,0.5714285714285714,0.6546936,0.17391304347826086,0.5714285714285714
0.17391304347826086,0.6071428571428571,0.60246545,0.17391304347826086,0.6071428571428571
0.21739130434782608,0.6071428571428571,0.5583833,0.21739130434782608,0.6071428571428571
0.21739130434782608,0.7142857142857143,0.45239538,0.21739130434782608,0.7142857142857143
0.2608695652173913,0.7142857142857143,0.3588013,0.2608695652173913,0.7142857142857143
0.2608695652173913,0.75,0.2506479,0.2608695652173913,0.75
0.30434782608695654,0.75,0.07226323,0.30434782608695654,0.75
0.30434782608695654,0.9642857142857143,0.021835722,0.30434782608695654,0.9642857142857143
0.5652173913043478,0.9642857142857143,0.0009425671,0.5652173913043478,0.9642857142857143
0.5652173913043478,1.0,0.0008840936,0.5652173913043478,1.0
1.0,1.0,0.0001353018,1.0,1.0
