FPR,TPR,Thresholds,x,y
0.0,0.0,inf,0.0,0.0
0.0,0.03571428571428571,0.9979588,0.0,0.03571428571428571
0.0,0.17857142857142858,0.9942277,0.0,0.17857142857142858
0.043478260869565216,0.17857142857142858,0.9914756,0.043478260869565216,0.17857142857142858
0.043478260869565216,0.39285714285714285,0.9839933,0.043478260869565216,0.39285714285714285
0.08695652173913043,0.39285714285714285,0.9830059,0.08695652173913043,0.39285714285714285
0.08695652173913043,0.75,0.78233546,0.08695652173913043,0.75
0.17391304347826086,0.75,0.63278913,0.17391304347826086,0.75
0.17391304347826086,0.7857142857142857,0.57741964,0.17391304347826086,0.7857142857142857
0.21739130434782608,0.7857142857142857,0.40073436,0.21739130434782608,0.7857142857142857
0.21739130434782608,0.8928571428571429,0.17431492,0.21739130434782608,0.8928571428571429
0.30434782608695654,0.8928571428571429,0.10268119,0.30434782608695654,0.8928571428571429
0.30434782608695654,0.9285714285714286,0.09637518,0.30434782608695654,0.9285714285714286
0.5652173913043478,0.9285714285714286,0.05088908,0.5652173913043478,0.9285714285714286
0.5652173913043478,0.9642857142857143,0.041194476,0.5652173913043478,0.9642857142857143
0.9565217391304348,0.9642857142857143,0.0028207856,0.9565217391304348,0.9642857142857143
0.9565217391304348,1.0,0.002511135,0.9565217391304348,1.0
1.0,1.0,0.0016914617,1.0,1.0
