FPR,TPR,Thresholds,x,y
0.0,0.0,inf,0.0,0.0
0.0,0.03571428571428571,0.9994497,0.0,0.03571428571428571
0.0,0.5714285714285714,0.99164855,0.0,0.5714285714285714
0.13043478260869565,0.5714285714285714,0.9892256,0.13043478260869565,0.5714285714285714
0.13043478260869565,0.6071428571428571,0.98670983,0.13043478260869565,0.6071428571428571
0.30434782608695654,0.6071428571428571,0.96552265,0.30434782608695654,0.6071428571428571
0.30434782608695654,0.75,0.2788723,0.30434782608695654,0.75
0.34782608695652173,0.75,0.18640485,0.34782608695652173,0.75
0.34782608695652173,0.7857142857142857,0.09985112,0.34782608695652173,0.7857142857142857
0.391304347826087,0.7857142857142857,0.05428338,0.391304347826087,0.7857142857142857
0.391304347826087,0.8571428571428571,0.029536698,0.391304347826087,0.8571428571428571
0.43478260869565216,0.8571428571428571,0.024124943,0.43478260869565216,0.8571428571428571
0.43478260869565216,0.9642857142857143,0.0021596733,0.43478260869565216,0.9642857142857143
0.5217391304347826,0.9642857142857143,0.0014837302,0.5217391304347826,0.9642857142857143
0.5217391304347826,1.0,0.0013552953,0.5217391304347826,1.0
1.0,1.0,0.00035015223,1.0,1.0
