Model,SHAP_Analysis,AUC
Bidirectional_GRU,✅ Success,0.8757763975155279
GRU,✅ Success,0.8742236024844721
Residual_LSTM,✅ Success,0.8649068322981367
Bidirectional_LSTM,✅ Success,0.8586956521739131
Attention_LSTM,✅ Success,0.8586956521739131
LSTM,✅ Success,0.8462732919254659
Optimized_Weighted_Ensemble,✅ Success,0.8400621118012422
CNN_LSTM,✅ Success,0.7593167701863355
Deep_CNN,✅ Success,0.6444099378881988
Transformer,✅ Success,0.5
