FPR,TPR,Thresholds,x,y
0.0,0.0,inf,0.0,0.0
0.0,0.03571428571428571,0.99997103,0.0,0.03571428571428571
0.0,0.2857142857142857,0.99984646,0.0,0.2857142857142857
0.043478260869565216,0.2857142857142857,0.99981755,0.043478260869565216,0.2857142857142857
0.043478260869565216,0.42857142857142855,0.9993949,0.043478260869565216,0.42857142857142855
0.08695652173913043,0.42857142857142855,0.99935275,0.08695652173913043,0.42857142857142855
0.08695652173913043,0.6071428571428571,0.9872696,0.08695652173913043,0.6071428571428571
0.17391304347826086,0.6071428571428571,0.98029125,0.17391304347826086,0.6071428571428571
0.17391304347826086,0.75,0.36722597,0.17391304347826086,0.75
0.2608695652173913,0.75,0.10745438,0.2608695652173913,0.75
0.2608695652173913,0.7857142857142857,0.07934185,0.2608695652173913,0.7857142857142857
0.30434782608695654,0.7857142857142857,0.027090358,0.30434782608695654,0.7857142857142857
0.30434782608695654,0.8214285714285714,0.0076516396,0.30434782608695654,0.8214285714285714
0.34782608695652173,0.8214285714285714,0.0067636655,0.34782608695652173,0.8214285714285714
0.34782608695652173,0.9285714285714286,0.0021994738,0.34782608695652173,0.9285714285714286
0.43478260869565216,0.9285714285714286,0.0018820829,0.43478260869565216,0.9285714285714286
0.43478260869565216,0.9642857142857143,0.0018795239,0.43478260869565216,0.9642857142857143
0.6086956521739131,0.9642857142857143,0.0011268633,0.6086956521739131,0.9642857142857143
0.6086956521739131,1.0,0.0009423309,0.6086956521739131,1.0
1.0,1.0,0.0003494253,1.0,1.0
