FPR,TPR,Thresholds,x,y
0.0,0.0,inf,0.0,0.0
0.0,0.03571428571428571,0.99996257,0.0,0.03571428571428571
0.0,0.5,0.99694127,0.0,0.5
0.08695652173913043,0.5,0.99497294,0.08695652173913043,0.5
0.08695652173913043,0.6071428571428571,0.9542811,0.08695652173913043,0.6071428571428571
0.21739130434782608,0.6071428571428571,0.7930485,0.21739130434782608,0.6071428571428571
0.21739130434782608,0.6785714285714286,0.5870691,0.21739130434782608,0.6785714285714286
0.30434782608695654,0.6785714285714286,0.4247833,0.30434782608695654,0.6785714285714286
0.30434782608695654,0.8571428571428571,0.013117659,0.30434782608695654,0.8571428571428571
0.34782608695652173,0.8571428571428571,0.008833617,0.34782608695652173,0.8571428571428571
0.34782608695652173,0.8928571428571429,0.0020599894,0.34782608695652173,0.8928571428571429
0.43478260869565216,0.8928571428571429,0.0008774252,0.43478260869565216,0.8928571428571429
0.43478260869565216,0.9285714285714286,0.00071321265,0.43478260869565216,0.9285714285714286
0.4782608695652174,0.9285714285714286,0.00047863775,0.4782608695652174,0.9285714285714286
0.4782608695652174,1.0,0.0004529588,0.4782608695652174,1.0
1.0,1.0,4.6055222e-05,1.0,1.0
